mouseID,Time,Gender,injured,CaAmplit,CaArea,rearing,grooming,NCaAmplit,NCaArea,Nrearing,Ngrooming
i02,-4,m,1,3.6652,263.379539247624,13,15,1.61835060878012,0.924153624423818,0.693333333333333,1
i02,-0.014,m,1,1.8684,338.091426660707,20,13,0.82498261416697,1.18630482165646,1.06666666666667,0.866666666666667
i02,0,m,1,NaN,NaN,0,6,NaN,NaN,0,0.4
i02,0.014,m,1,3.1843,1122.94411860407,5,13,1.40601163470985,3.94021828801845,0.266666666666667,0.866666666666667
i02,0.042,m,1,1.5734,1008.81032403373,14,13,0.69472684924551,3.53974238080587,0.746666666666667,0.866666666666667
i02,1,m,1,6.5134,361.410411586963,13,15,2.87595898047267,1.26812713974177,0.693333333333333,1
i02,3,m,1,4.0549,1629.03037842607,12,13,1.7904206819662,5.71598816225258,0.64,0.866666666666667
i02,7,m,1,3.0465,251.20831618545,21,32,1.34516673841772,0.881446890488789,1.12,2.13333333333333
i02,14,m,1,1.5521,NaN,21,12,0.685321941473215,NaN,1.12,0.8
i02,56,m,1,0.371458283724775,NaN,18,31,0.164015535318078,NaN,0.96,2.06666666666667
i01,-7,m,1,2.0485,NaN,36,25,0.938785330476725,NaN,1.21008403361345,1.05263157894737
i01,-6,m,1,2.1849,179.530814911795,35,17,1.00129463927684,0.522366437277454,1.17647058823529,0.715789473684211
i01,-4,m,1,3.1324,400.662082322439,30,27,1.43551436133039,1.16577438027987,1.00840336134454,1.13684210526316
i01,-0.014,m,1,1.3625,450.869458333333,18,26,0.624405668916055,1.31185876219919,0.605042016806723,1.09473684210526
i01,0,m,1,NaN,NaN,0,0,NaN,NaN,0,0
i01,0.014,m,1,4.0674,1861.89174852046,9,11,1.86400559100856,5.41739734066691,0.302521008403361,0.463157894736842
i01,0.042,m,1,NaN,NaN,29,22,NaN,NaN,0.974789915966386,0.926315789473684
i01,1,m,1,2.0058,NaN,27,20,0.919216800522438,NaN,0.907563025210084,0.842105263157895
i01,3,m,1,7.199,NaN,37,37,3.29915332882692,NaN,1.2436974789916,1.55789473684211
i01,7,m,1,4.4585,NaN,41,34,2.04323866044934,NaN,1.3781512605042,1.43157894736842
i01,14,m,1,4.256,463.12534637287,33,24,1.95043708396824,1.34751873830986,1.10924369747899,1.01052631578947
i01,56,m,1,7.3393,425.576234,42,32,3.36344992724815,1.23826509256228,1.41176470588235,1.34736842105263
v01,-7,m,1,3.29839741016322,206.840761516071,NaN,NaN,1.18118017915287,0.831145746865589,NaN,NaN
v01,-6,m,1,3.28950547166824,253.493411667666,NaN,NaN,1.17799591127539,1.01860953045108,NaN,NaN
v01,-4,m,1,2.52430151946156,239.771467932637,NaN,NaN,0.903970792424402,0.963470808805963,NaN,NaN
v01,-0.014,m,1,2.0576322363981,295.343170580527,NaN,NaN,0.736853117147339,1.18677391387737,NaN,NaN
v01,0,m,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
v01,0.014,m,1,3.64716046443551,2352.84118079195,NaN,NaN,1.3060747735267,9.45439344804142,NaN,NaN
v01,0.042,m,1,3.29208708912643,2500.96960162361,NaN,NaN,1.17892040715976,10.0496161017473,NaN,NaN
v01,1,m,1,4.61468795555292,257.530972970551,NaN,NaN,1.65255342793963,1.03483361452428,NaN,NaN
v01,3,m,1,6.69244436314637,2854.30167422969,NaN,NaN,2.39661315755732,11.4694061239134,NaN,NaN
v01,7,m,1,3.35576367021794,298.129935615088,NaN,NaN,1.20172345542962,1.19797193833354,NaN,NaN
v01,14,m,1,1.78383510401573,238.860493969693,NaN,NaN,0.638804366427727,0.959810253075765,NaN,NaN
v01,56,m,1,1.6821152,250.5665,NaN,NaN,0.602377726609897,1.00684835646293,NaN,NaN
i22,-7,m,0,4.3896,109.455049752499,66,82,1.24236013330409,0.993456344247615,0.970588235294118,1.06148867313916
i22,-6,m,0,3.6856,93.3714408441086,78,80,1.04311156080407,0.847475292258069,1.14705882352941,1.03559870550162
i22,-4,m,0,3.6162,140.683591999352,82,82,1.02346972709455,1.27689866588461,1.20588235294118,1.06148867313916
i22,-0.014,m,0,2.4417,97.1939317727595,46,65,0.691058578797292,0.88216969760971,0.676470588235294,0.841423948220065
i22,0,m,0,NaN,NaN,31,53,NaN,NaN,0.455882352941176,0.686084142394822
i22,0.014,m,0,2.5057,111.702812113176,14,30,0.709172085388202,1.01385790436407,0.205882352941176,0.388349514563107
i22,0.042,m,0,2.032,138.305159803841,16,39,0.575103834261415,1.25531109583337,0.235294117647059,0.504854368932039
i22,1,m,0,6.8623,NaN,43,41,1.94219244185635,NaN,0.632352941176471,0.530744336569579
i22,3,m,0,5.7332,104.4557,23,51,1.62263056229702,0.948080313265367,0.338235294117647,0.660194174757282
i22,7,m,0,5.9993,137.48956,24,36,1.69794312641954,1.24790839672241,0.352941176470588,0.466019417475728
i22,14,m,0,3.1691,125.706085638152,61,49,0.896929902144611,1.14095702820605,0.897058823529412,0.634304207119741
i22,56,m,0,1.1679,114.4869203,23,49,0.330543192930072,1.03912754653706,0.338235294117647,0.634304207119741
i21,-7,m,0,5.8427,610.774938419747,50,51,1.29158975605982,1.70364498151175,0.854700854700855,1.1027027027027
i21,-6,m,0,4.3023,323.581478951963,60,44,0.951068274512838,0.902571353292514,1.02564102564103,0.951351351351351
i21,-4,m,0,4.137,284.202561172358,63,45,0.91452698595161,0.792731064451974,1.07692307692308,0.972972972972973
i21,-0.014,m,0,3.8126,215.483782824599,61,45,0.842814983475733,0.601052600743757,1.04273504273504,0.972972972972973
i21,0,m,0,NaN,NaN,39,34,NaN,NaN,0.666666666666667,0.735135135135135
i21,0.014,m,0,1.8235,102.891938117411,22,26,0.403103688393222,0.286998242700126,0.376068376068376,0.562162162162162
i21,0.042,m,0,2.4915,151.579491023845,25,30,0.550772053540835,0.42280326670085,0.427350427350427,0.648648648648649
i21,1,m,0,6.9231,314.558204225415,57,55,1.53042344124767,0.87740257877721,0.974358974358974,1.18918918918919
i21,3,m,0,6.4713,357.370379096648,34,45,1.43054834038885,0.996819310340703,0.581196581196581,0.972972972972973
i21,7,m,0,5.4912,1069.35160899987,46,52,1.21388701601583,2.98276073156778,0.786324786324786,1.12432432432432
i21,14,m,0,4.012,150,57,50,0.886894432593149,0.418397565374796,0.974358974358974,1.08108108108108
i21,56,m,0,2.14781633828448,168,43,51,0.474797196511667,0.468605273219772,0.735042735042735,1.1027027027027
i16,-7,m,0,5.5489,105.75827253191,94,16,1.39924098193234,0.601755886519476,1.37728937728938,0.453900709219858
i16,-6,m,0,2.8643,200.355,86,45,0.72227755853391,1.14000349813989,1.26007326007326,1.27659574468085
i16,-4,m,0,2.5652,148.996457616153,57,35,0.646854866163176,0.84777760920799,0.835164835164835,0.99290780141844
i16,-0.014,m,0,4.8842,247.888112672289,36,45,1.23162659337057,1.41046300613264,0.527472527472527,1.27659574468085
i16,0,m,0,NaN,NaN,16,35,NaN,NaN,0.234432234432234,0.99290780141844
i16,0.014,m,0,2.5898,144.67569,38,46,0.653058136749335,0.823192796265642,0.556776556776557,1.30496453900709
i16,0.042,m,0,4.3783,138.566000790023,46,55,1.10405608160075,0.788429166349137,0.673992673992674,1.56028368794326
i16,1,m,0,2.723,615.336701028655,58,59,0.686646577484145,3.50121530137271,0.84981684981685,1.67375886524823
i16,3,m,0,6.4971,118.63515023488,41,58,1.63834428151753,0.675024263283247,0.600732600732601,1.64539007092199
i16,7,m,0,3.4487,188.8755454,52,69,0.869643059775825,1.07468634408465,0.761904761904762,1.95744680851064
i16,14,m,0,3.904,154.290722399323,57,62,0.984453998713956,0.877901541093356,0.835164835164835,1.75886524822695
i16,56,m,0,2.91971625463456,162.53846,37,60,0.736251624576047,0.924830490790203,0.542124542124542,1.70212765957447
i15,-7,m,0,1.33634811021264,NaN,84,27,0.676026678479172,NaN,1.63106796116505,0.734693877551021
i15,-6,m,0,1.33408558951969,411.990163280788,33,42,0.674882123501957,2.0765392502042,0.640776699029126,1.14285714285714
i15,-4,m,0,2.97893333081454,68.0046178441809,45,21,1.50697141717574,0.3427612373656,0.87378640776699,0.571428571428571
i15,-0.014,m,0,2.25770618116888,115.212094594229,44,57,1.14211978084313,0.580699390048548,0.854368932038835,1.55102040816327
i15,0,m,0,NaN,NaN,18,46,NaN,NaN,0.349514563106796,1.25170068027211
i15,0.014,m,0,4.12064974104614,182.547128176966,12,59,2.08453855454197,0.920085745865678,0.233009708737864,1.60544217687075
i15,0.042,m,0,3.30951128508906,150.866480170906,17,49,1.67420293009423,0.760406911466782,0.330097087378641,1.33333333333333
i15,1,m,0,2.90469587288278,117.835537109758,62,29,1.46941645542968,0.593922233309584,1.20388349514563,0.789115646258504
i15,3,m,0,1.7248595147168,118.867568143272,41,63,0.872565344346277,0.599123942329661,0.796116504854369,1.71428571428571
i15,7,m,0,3.51392905576949,448.778983508343,36,59,1.77761301143243,2.26196462192395,0.699029126213592,1.60544217687075
i15,14,m,0,2.9083170061902,NaN,29,44,1.4712483003629,NaN,0.563106796116505,1.19727891156463
i15,56,m,0,2.63352037145884,NaN,27,51,1.33223522807569,NaN,0.524271844660194,1.38775510204082
i12,-7,f,0,2.93336379146796,831.191885670533,58,23,0.77562471820446,0.903091670632485,1.24731182795699,0.736
i12,-6,f,0,2.2759810902332,1005.645075225,60,36,0.601803021154811,1.09263541512515,1.29032258064516,1.152
i12,-4,f,0,4.59950296952233,1105.69760787264,29,49,1.21617652946164,1.20134269489711,0.623655913978495,1.568
i12,-0.014,f,0,5.3189,739.004804032833,39,17,1.40639573117909,0.802930219345263,0.838709677419355,0.544
i12,0,f,0,NaN,NaN,18,18,NaN,NaN,0.387096774193548,0.576
i12,0.014,f,0,2.1364,568.685451434468,46,36,0.56489571905676,0.617877897094767,0.989247311827957,1.152
i12,0.042,f,0,4.2486,1106.01711460408,16,26,1.12339260062935,1.20168983960923,0.344086021505376,0.832
i12,1,f,0,3.21709114169333,79.9465669797126,37,34,0.850646421050002,0.086862107269968,0.795698924731183,1.088
i12,3,f,0,3.62380717066043,155.500092646464,34,41,0.958188147156473,0.168951166238003,0.731182795698925,1.312
i12,7,f,0,3.96681586124724,548.566419965381,27,47,1.04888471174188,0.5960185285733,0.580645161290323,1.504
i12,14,f,0,5.07517297846011,1099.05077378233,31,20,1.34195070620893,1.19412089616865,0.666666666666667,0.64
i12,56,f,0,0.835278321244256,273.493670435445,40,29,0.220859926864734,0.297151427966247,0.860215053763441,0.928
i13,-7,f,0,7.0718,805.17774027661,54,69,1.90309342160147,1.55007735655898,1.125,1.19480519480519
i13,-6,f,0,3.3733,803.10267876993,63,50,0.907789394367524,1.54608257914019,1.3125,0.865800865800866
i13,-4,f,0,2.8402,364.20223250909,26,45,0.764326753589257,0.701139146776,0.541666666666667,0.779220779220779
i13,-0.014,f,0,1.5785,105.291691433355,49,67,0.424790430441744,0.202700917524831,1.02083333333333,1.16017316017316
i13,0,f,0,NaN,NaN,41,53,NaN,NaN,0.854166666666667,0.917748917748918
i13,0.014,f,0,6.006,126.071171864401,14,51,1.61627578411981,0.242704261489804,0.291666666666667,0.883116883116883
i13,0.042,f,0,5.0213,808.472978391237,54,65,1.35128298281731,1.55642114095645,1.125,1.12554112554113
i13,1,f,0,4.5468,810.931205755654,49,68,1.22359019900698,1.56115356509618,1.02083333333333,1.17748917748918
i13,3,f,0,3.9459,247.548208119446,44,61,1.06188188753885,0.476564183121706,0.916666666666667,1.05627705627706
i13,7,f,0,2.5652,754.674040028709,49,77,0.69032145211857,1.45285082102433,1.02083333333333,1.33333333333333
i13,14,f,0,3.4487,188.370357,49,79,0.92808030247985,0.36263871990838,1.02083333333333,1.36796536796537
i13,56,f,0,0.566942498048418,NaN,43,88,0.152570001749216,NaN,0.895833333333333,1.52380952380952
i10,-7,f,0,4.6352,214.7831039657,12,32,1.30969300538265,0.840298096714079,0.268156424581006,0.761904761904762
i10,-6,f,0,2.9547,267.949648865028,70,48,0.834861478038512,1.04830210477099,1.56424581005587,1.14285714285714
i10,-4,f,0,2.8791,311.252845747044,69,46,0.813500416766738,1.21771763723021,1.54189944134078,1.0952380952381
i10,-0.014,f,0,3.6876,228.428255770311,28,42,1.0419450998121,0.893682161284728,0.625698324022346,1
i10,0,f,0,NaN,NaN,30,51,NaN,NaN,0.670391061452514,1.21428571428571
i10,0.014,f,0,3.9894,213.003101258308,26,38,1.12721981266688,0.833334174228788,0.581005586592179,0.904761904761905
i10,0.042,f,0,4.742,219.243793949103,4,17,1.33986974273484,0.857749698976442,0.089385474860335,0.404761904761905
i10,1,f,0,6.3935,244.877851286866,29,23,1.80650721218372,0.958038079180789,0.64804469273743,0.547619047619048
i10,3,f,0,6.1391,219.096140573396,37,33,1.73462554568187,0.857172033190404,0.8268156424581,0.785714285714286
i10,7,f,0,2.7363,266.048229232687,27,51,0.773151745475609,1.04086316162969,0.603351955307263,1.21428571428571
i10,14,f,0,3.2387,195.337642141262,75,73,0.915106734667929,0.764221420946273,1.67597765363129,1.73809523809524
i10,56,f,0,1.73204039801288,NaN,17,35,0.489394458556433,NaN,0.379888268156425,0.833333333333333
i04,-7,f,0,3.94611259818119,88.454377903,36,19,1.19531062024163,0.366706188993035,0.941176470588235,0.517006802721089
i04,-6,f,0,3.0401,203.403449170609,40,30,0.920871801387098,0.843251690212417,1.04575163398693,0.816326530612245
i04,-4,f,0,3.9692,260.791221603735,42,45,1.20230398804831,1.08116474576325,1.09803921568627,1.22448979591837
i04,-0.014,f,0,2.2499,412.203801457454,35,53,0.68151359032296,1.70887737503129,0.915032679738562,1.4421768707483
i04,0,f,0,NaN,NaN,28,43,NaN,NaN,0.73202614379085,1.17006802721088
i04,0.014,f,0,3.6918,251.094848863912,19,30,1.11827720021081,1.04096639743079,0.496732026143791,0.816326530612245
i04,0.042,f,0,7.0348,NaN,11,26,2.13089995342191,NaN,0.287581699346405,0.707482993197279
i04,1,f,0,4.4137,NaN,21,40,1.33694676812678,NaN,0.549019607843137,1.08843537414966
